Loading Train Dataset
Loading Test Dataset
Loading Val Dataset
  + Number of params: 2805796
/usr/local/lib/python3.6/dist-packages/torch/nn/modules/container.py:117: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Train Epoch: 1 [0/100000]	Loss: 0.1915 (0.1915) 	Acc: 54.17% (54.17%) 	Emb_Norm: 0.75 (0.75)
Train Epoch: 1 [9600/100000]	Loss: 0.1369 (0.1494) 	Acc: 70.83% (67.12%) 	Emb_Norm: 0.57 (0.65)
Train Epoch: 1 [19200/100000]	Loss: 0.1572 (0.1395) 	Acc: 65.62% (69.73%) 	Emb_Norm: 0.51 (0.59)
Train Epoch: 1 [28800/100000]	Loss: 0.1051 (0.1313) 	Acc: 78.12% (71.89%) 	Emb_Norm: 0.51 (0.56)
Train Epoch: 1 [38400/100000]	Loss: 0.0898 (0.1241) 	Acc: 84.38% (73.67%) 	Emb_Norm: 0.52 (0.55)
Train Epoch: 1 [48000/100000]	Loss: 0.0551 (0.1182) 	Acc: 90.62% (75.14%) 	Emb_Norm: 0.53 (0.55)
Train Epoch: 1 [57600/100000]	Loss: 0.0866 (0.1114) 	Acc: 85.42% (76.81%) 	Emb_Norm: 0.53 (0.54)
Train Epoch: 1 [67200/100000]	Loss: 0.0787 (0.1044) 	Acc: 87.50% (78.52%) 	Emb_Norm: 0.42 (0.53)
Train Epoch: 1 [76800/100000]	Loss: 0.0029 (0.1000) 	Acc: 100.00% (79.59%) 	Emb_Norm: 0.48 (0.52)
Train Epoch: 1 [86400/100000]	Loss: 0.0149 (0.0950) 	Acc: 97.92% (80.82%) 	Emb_Norm: 0.47 (0.52)
Train Epoch: 1 [96000/100000]	Loss: 0.0885 (0.0915) 	Acc: 84.38% (81.65%) 	Emb_Norm: 0.47 (0.51)

Test set: Average loss: 0.0921, Accuracy: 82.29%

Train Epoch: 2 [0/100000]	Loss: 0.0681 (0.0681) 	Acc: 83.33% (83.33%) 	Emb_Norm: 0.49 (0.49)
Train Epoch: 2 [9600/100000]	Loss: 0.0531 (0.0334) 	Acc: 88.54% (94.41%) 	Emb_Norm: 0.45 (0.49)
Train Epoch: 2 [19200/100000]	Loss: 0.0407 (0.0330) 	Acc: 93.75% (94.42%) 	Emb_Norm: 0.45 (0.48)
Train Epoch: 2 [28800/100000]	Loss: 0.0301 (0.0362) 	Acc: 96.88% (93.84%) 	Emb_Norm: 0.46 (0.48)
Train Epoch: 2 [38400/100000]	Loss: 0.0004 (0.0361) 	Acc: 100.00% (93.95%) 	Emb_Norm: 0.48 (0.48)
Train Epoch: 2 [48000/100000]	Loss: 0.0649 (0.0352) 	Acc: 86.46% (94.12%) 	Emb_Norm: 0.47 (0.48)
Train Epoch: 2 [57600/100000]	Loss: 0.0069 (0.0342) 	Acc: 100.00% (94.28%) 	Emb_Norm: 0.46 (0.48)
Train Epoch: 2 [67200/100000]	Loss: 0.0010 (0.0340) 	Acc: 100.00% (94.37%) 	Emb_Norm: 0.50 (0.48)
Train Epoch: 2 [76800/100000]	Loss: 0.0076 (0.0337) 	Acc: 98.96% (94.43%) 	Emb_Norm: 0.47 (0.48)
Train Epoch: 2 [86400/100000]	Loss: 0.0033 (0.0331) 	Acc: 100.00% (94.53%) 	Emb_Norm: 0.53 (0.48)
Train Epoch: 2 [96000/100000]	Loss: 0.0499 (0.0327) 	Acc: 98.96% (94.62%) 	Emb_Norm: 0.58 (0.48)

Test set: Average loss: 0.0750, Accuracy: 85.98%

Train Epoch: 3 [0/100000]	Loss: 0.0000 (0.0000) 	Acc: 100.00% (100.00%) 	Emb_Norm: 0.52 (0.52)
Train Epoch: 3 [9600/100000]	Loss: 0.0095 (0.0254) 	Acc: 100.00% (95.69%) 	Emb_Norm: 0.55 (0.49)
Train Epoch: 3 [19200/100000]	Loss: 0.0049 (0.0244) 	Acc: 100.00% (96.17%) 	Emb_Norm: 0.46 (0.49)
Train Epoch: 3 [28800/100000]	Loss: 0.0000 (0.0254) 	Acc: 100.00% (95.89%) 	Emb_Norm: 0.50 (0.49)
Train Epoch: 3 [38400/100000]	Loss: 0.0039 (0.0246) 	Acc: 100.00% (96.03%) 	Emb_Norm: 0.51 (0.49)
Train Epoch: 3 [48000/100000]	Loss: 0.0322 (0.0239) 	Acc: 92.71% (96.13%) 	Emb_Norm: 0.45 (0.48)
Train Epoch: 3 [57600/100000]	Loss: 0.0269 (0.0230) 	Acc: 94.79% (96.29%) 	Emb_Norm: 0.41 (0.48)
Train Epoch: 3 [67200/100000]	Loss: 0.0127 (0.0222) 	Acc: 96.88% (96.45%) 	Emb_Norm: 0.45 (0.48)
Train Epoch: 3 [76800/100000]	Loss: 0.0128 (0.0225) 	Acc: 96.88% (96.37%) 	Emb_Norm: 0.48 (0.48)
