Train Epoch: 1 [0/100000]		Loss: 0.1929 (0.1929) 	Acc: 53.12% (53.12%) 	Emb_Norm: 0.73 (0.73)
Train Epoch: 1 [9600/100000]	Loss: 0.1187 (0.1394) 	Acc: 70.83% (70.21%) 	Emb_Norm: 0.57 (0.64)
Train Epoch: 1 [19200/100000]	Loss: 0.1290 (0.1285) 	Acc: 75.00% (72.75%) 	Emb_Norm: 0.55 (0.60)
Train Epoch: 1 [28800/100000]	Loss: 0.1262 (0.1190) 	Acc: 76.04% (75.26%) 	Emb_Norm: 0.54 (0.58)
Train Epoch: 1 [38400/100000]	Loss: 0.1175 (0.1090) 	Acc: 71.88% (77.81%) 	Emb_Norm: 0.46 (0.56)
Train Epoch: 1 [48000/100000]	Loss: 0.0849 (0.1056) 	Acc: 88.54% (78.73%) 	Emb_Norm: 0.56 (0.56)
Train Epoch: 1 [57600/100000]	Loss: 0.0687 (0.0983) 	Acc: 86.46% (80.53%) 	Emb_Norm: 0.51 (0.55)
Train Epoch: 1 [67200/100000]	Loss: 0.0162 (0.0916) 	Acc: 98.96% (82.09%) 	Emb_Norm: 0.56 (0.55)
Train Epoch: 1 [76800/100000]	Loss: 0.0117 (0.0857) 	Acc: 100.00% (83.35%) 	Emb_Norm: 0.57 (0.55)
Train Epoch: 1 [86400/100000]	Loss: 0.0243 (0.0807) 	Acc: 100.00% (84.42%) 	Emb_Norm: 0.55 (0.55)
Train Epoch: 1 [96000/100000]	Loss: 0.0802 (0.0760) 	Acc: 90.62% (85.45%) 	Emb_Norm: 0.62 (0.56)

Test set: Average loss: 0.0894, Accuracy: 82.28%

Train Epoch: 2 [0/100000]	Loss: 0.0018 (0.0018) 	Acc: 100.00% (100.00%) 	Emb_Norm: 0.58 (0.58)
Train Epoch: 2 [9600/100000]	Loss: 0.0307 (0.0250) 	Acc: 95.83% (96.23%) 	Emb_Norm: 0.51 (0.57)
Train Epoch: 2 [19200/100000]	Loss: 0.0611 (0.0286) 	Acc: 91.67% (95.43%) 	Emb_Norm: 0.59 (0.56)
Train Epoch: 2 [28800/100000]	Loss: 0.0000 (0.0306) 	Acc: 100.00% (95.14%) 	Emb_Norm: 0.61 (0.56)
Train Epoch: 2 [38400/100000]	Loss: 0.0433 (0.0308) 	Acc: 90.62% (95.10%) 	Emb_Norm: 0.56 (0.57)
