Train Epoch: 1 [0/100000]	Loss: 0.1826 (0.1826) 	Acc: 65.62% (65.62%) 	Emb_Norm: 0.98 (0.98)
Train Epoch: 1 [9600/100000]	Loss: 0.1536 (0.1510) 	Acc: 66.67% (66.35%) 	Emb_Norm: 0.65 (0.80)
Train Epoch: 1 [19200/100000]	Loss: 0.1127 (0.1403) 	Acc: 73.96% (69.20%) 	Emb_Norm: 0.58 (0.71)
Train Epoch: 1 [28800/100000]	Loss: 0.1131 (0.1324) 	Acc: 79.17% (71.13%) 	Emb_Norm: 0.62 (0.67)
Train Epoch: 1 [38400/100000]	Loss: 0.0992 (0.1256) 	Acc: 77.08% (72.84%) 	Emb_Norm: 0.61 (0.66)
Train Epoch: 1 [48000/100000]	Loss: 0.0825 (0.1191) 	Acc: 81.25% (74.59%) 	Emb_Norm: 0.62 (0.65)
Train Epoch: 1 [57600/100000]	Loss: 0.0769 (0.1132) 	Acc: 88.54% (76.16%) 	Emb_Norm: 0.57 (0.64)
Train Epoch: 1 [67200/100000]	Loss: 0.0859 (0.1076) 	Acc: 77.08% (77.60%) 	Emb_Norm: 0.57 (0.63)
Train Epoch: 1 [76800/100000]	Loss: 0.1226 (0.1029) 	Acc: 69.79% (78.77%) 	Emb_Norm: 0.60 (0.62)
Train Epoch: 1 [86400/100000]	Loss: 0.1020 (0.0982) 	Acc: 75.00% (79.93%) 	Emb_Norm: 0.59 (0.62)
Train Epoch: 1 [96000/100000]	Loss: 0.0385 (0.0944) 	Acc: 94.79% (80.87%) 	Emb_Norm: 0.59 (0.62)

Test set: Average loss: 0.0891, Accuracy: 82.25%

Train Epoch: 2 [0/100000]	Loss: 0.0508 (0.0508) 	Acc: 89.58% (89.58%) 	Emb_Norm: 0.58 (0.58)
Train Epoch: 2 [9600/100000]	Loss: 0.0054 (0.0454) 	Acc: 100.00% (92.80%) 	Emb_Norm: 0.58 (0.60)
Train Epoch: 2 [19200/100000]	Loss: 0.0047 (0.0447) 	Acc: 98.96% (92.67%) 	Emb_Norm: 0.57 (0.59)
