Train Epoch: 1 [0/100000]		Loss: 0.1871 (0.1871) 	Acc: 58.33% (58.33%) 	Emb_Norm: 17.06 (17.06)
Train Epoch: 1 [2400/100000]	Loss: 0.2102 (0.2007) 	Acc: 45.83% (51.82%) 	Emb_Norm: 4.33 (5.45)
Train Epoch: 1 [4800/100000]	Loss: 0.2340 (0.1984) 	Acc: 29.17% (52.49%) 	Emb_Norm: 4.52 (4.68)
Train Epoch: 1 [7200/100000]	Loss: 0.2446 (0.1964) 	Acc: 25.00% (53.05%) 	Emb_Norm: 3.66 (4.53)
Train Epoch: 1 [9600/100000]	Loss: 0.1589 (0.1923) 	Acc: 62.50% (54.37%) 	Emb_Norm: 4.91 (4.47)
Train Epoch: 1 [12000/100000]	Loss: 0.1419 (0.1911) 	Acc: 62.50% (54.72%) 	Emb_Norm: 4.57 (4.45)
Train Epoch: 1 [14400/100000]	Loss: 0.1796 (0.1885) 	Acc: 58.33% (55.36%) 	Emb_Norm: 3.92 (4.40)
Train Epoch: 1 [16800/100000]	Loss: 0.1623 (0.1874) 	Acc: 58.33% (55.61%) 	Emb_Norm: 4.82 (4.41)
Train Epoch: 1 [19200/100000]	Loss: 0.1939 (0.1861) 	Acc: 50.00% (55.97%) 	Emb_Norm: 4.30 (4.39)
Train Epoch: 1 [21600/100000]	Loss: 0.1638 (0.1844) 	Acc: 70.83% (56.56%) 	Emb_Norm: 4.06 (4.38)
Train Epoch: 1 [24000/100000]	Loss: 0.1496 (0.1828) 	Acc: 54.17% (56.96%) 	Emb_Norm: 4.32 (4.38)
Train Epoch: 1 [26400/100000]	Loss: 0.1444 (0.1820) 	Acc: 75.00% (57.25%) 	Emb_Norm: 5.15 (4.40)
Train Epoch: 1 [28800/100000]	Loss: 0.1482 (0.1805) 	Acc: 66.67% (57.70%) 	Emb_Norm: 4.52 (4.39)
Train Epoch: 1 [31200/100000]	Loss: 0.1729 (0.1799) 	Acc: 62.50% (57.85%) 	Emb_Norm: 4.09 (4.40)
Train Epoch: 1 [33600/100000]	Loss: 0.1798 (0.1788) 	Acc: 58.33% (58.17%) 	Emb_Norm: 4.67 (4.40)
Train Epoch: 1 [36000/100000]	Loss: 0.1310 (0.1773) 	Acc: 75.00% (58.54%) 	Emb_Norm: 4.48 (4.42)
Train Epoch: 1 [38400/100000]	Loss: 0.1429 (0.1758) 	Acc: 62.50% (58.90%) 	Emb_Norm: 4.79 (4.45)
Train Epoch: 1 [40800/100000]	Loss: 0.1515 (0.1740) 	Acc: 66.67% (59.39%) 	Emb_Norm: 4.69 (4.47)
Train Epoch: 1 [43200/100000]	Loss: 0.1336 (0.1721) 	Acc: 66.67% (59.86%) 	Emb_Norm: 5.14 (4.50)
Train Epoch: 1 [45600/100000]	Loss: 0.1132 (0.1704) 	Acc: 79.17% (60.34%) 	Emb_Norm: 4.97 (4.50)
Train Epoch: 1 [48000/100000]	Loss: 0.1273 (0.1689) 	Acc: 66.67% (60.71%) 	Emb_Norm: 4.64 (4.53)
Train Epoch: 1 [50400/100000]	Loss: 0.1109 (0.1671) 	Acc: 70.83% (61.16%) 	Emb_Norm: 4.52 (4.56)
Train Epoch: 1 [52800/100000]	Loss: 0.1262 (0.1654) 	Acc: 79.17% (61.60%) 	Emb_Norm: 4.48 (4.58)
